row_type,signature,road,dir,range,level,type,train_count,heldout_exact_signature_support,heldout_pattern_support,sample_id,train_exact_signature_count,train_exact_rdr_count,train_exact_rdrt_count,train_road_dir_count,train_road_dir_type_count,train_road_count,best_pattern_score,best_train_signature,metric,value
train_signature,经一路|向南|农业路至红专路|畅通,经一路,向南,农业路至红专路,畅通,changed_relief,2.0,1.0,1.0,,,,,,,,,,,
train_signature,经三路|向北|红专路至政七街|正常,经三路,向北,红专路至政七街,正常,normal_anchor,1.0,0.0,1.0,,,,,,,,,,,
train_signature,经三路|向北|红专路至政七街|畅通,经三路,向北,红专路至政七街,畅通,changed_relief,2.0,1.0,1.0,,,,,,,,,,,
train_signature,经三路|向南|政七街至黄河路|畅通,经三路,向南,政七街至黄河路,畅通,changed_relief,1.0,0.0,0.0,,,,,,,,,,,
train_signature,经三路|向南|红专路至政七街|正常,经三路,向南,红专路至政七街,正常,normal_anchor,1.0,0.0,1.0,,,,,,,,,,,
train_signature,经三路|向南|红专路至政七街|畅通,经三路,向南,红专路至政七街,畅通,changed_relief,2.0,1.0,1.0,,,,,,,,,,,
train_signature,经八路|向北|农业路至红专路|畅通,经八路,向北,农业路至红专路,畅通,changed_relief,1.0,0.0,0.0,,,,,,,,,,,
train_signature,经八路|向北|政七街至黄河路|畅通,经八路,向北,政七街至黄河路,畅通,changed_relief,1.0,0.0,0.0,,,,,,,,,,,
train_signature,经八路|向南|政七街至黄河路|畅通,经八路,向南,政七街至黄河路,畅通,changed_relief,2.0,1.0,1.0,,,,,,,,,,,
train_signature,经八路|向南|红专路至政七街|畅通,经八路,向南,红专路至政七街,畅通,changed_relief,2.0,1.0,1.0,,,,,,,,,,,
train_signature,经八路|向南|黄河路至纬五路|畅通,经八路,向南,黄河路至纬五路,畅通,changed_relief,1.0,0.0,0.0,,,,,,,,,,,
train_signature,经六路|向北|红专路至政七街|畅通,经六路,向北,红专路至政七街,畅通,changed_relief,2.0,1.0,1.0,,,,,,,,,,,
train_signature,花园路|向北|政七街至黄河路|畅通,花园路,向北,政七街至黄河路,畅通,changed_relief,2.0,1.0,1.0,,,,,,,,,,,
train_signature,花园路|向南|红专路至政七街|畅通,花园路,向南,红专路至政七街,畅通,changed_relief,1.0,0.0,0.0,,,,,,,,,,,
train_signature,花园路|向南|黄河路至纬五路|畅通,花园路,向南,黄河路至纬五路,畅通,changed_relief,2.0,1.0,1.0,,,,,,,,,,,
heldout_coverage,经三路|向南|红专路至政七街|畅通,经三路,向南,红专路至政七街,畅通,changed_relief,,,,val_normal:1,2.0,3.0,2.0,4.0,3.0,7.0,1.0,经三路|向南|红专路至政七街|畅通,,
heldout_coverage,经一路|向南|农业路至红专路|畅通,经一路,向南,农业路至红专路,畅通,changed_relief,,,,val_normal:3,2.0,3.0,2.0,3.0,2.0,3.0,1.0,经一路|向南|农业路至红专路|畅通,,
heldout_coverage,农业路|向西|经三路至经六路|畅通,农业路,向西,经三路至经六路,畅通,changed_relief,,,,val_normal:20,2.0,4.0,2.0,9.0,6.0,19.0,1.0,农业路|向西|经三路至经六路|畅通,,
heldout_coverage,农业路|向西|花园路至未来路|畅通,农业路,向西,花园路至未来路,畅通,changed_relief,,,,val_normal:25,4.0,5.0,4.0,9.0,6.0,19.0,1.0,农业路|向西|花园路至未来路|畅通,,
heldout_coverage,经六路|向北|红专路至政七街|畅通,经六路,向北,红专路至政七街,畅通,changed_relief,,,,val_normal:60,2.0,2.0,2.0,2.0,2.0,2.0,1.0,经六路|向北|红专路至政七街|畅通,,
heldout_coverage,花园路|向北|政七街至黄河路|畅通,花园路,向北,政七街至黄河路,畅通,changed_relief,,,,val_normal:61,2.0,2.0,2.0,2.0,2.0,5.0,1.0,花园路|向北|政七街至黄河路|畅通,,
heldout_coverage,农业路|向东|经六路至经八路|畅通,农业路,向东,经六路至经八路,畅通,changed_relief,,,,val_normal:74,3.0,4.0,3.0,10.0,8.0,19.0,1.0,农业路|向东|经六路至经八路|畅通,,
heldout_coverage,农业路|向东|花园路至未来路|畅通,农业路,向东,花园路至未来路,畅通,changed_relief,,,,val_normal:94,3.0,4.0,3.0,10.0,8.0,19.0,1.0,农业路|向东|花园路至未来路|畅通,,
heldout_coverage,经八路|向南|政七街至黄河路|畅通,经八路,向南,政七街至黄河路,畅通,changed_relief,,,,val_normal:95,2.0,2.0,2.0,5.0,5.0,7.0,1.0,经八路|向南|政七街至黄河路|畅通,,
heldout_coverage,经三路|向北|红专路至政七街|畅通,经三路,向北,红专路至政七街,畅通,changed_relief,,,,val_normal:103,2.0,3.0,2.0,3.0,2.0,7.0,1.0,经三路|向北|红专路至政七街|畅通,,
heldout_coverage,纬五路|向东|经三路至经六路|畅通,纬五路,向东,经三路至经六路,畅通,changed_relief,,,,val_normal:104,3.0,4.0,3.0,7.0,5.0,9.0,1.0,纬五路|向东|经三路至经六路|畅通,,
heldout_coverage,未来路|向北|政七街至黄河路|畅通,未来路,向北,政七街至黄河路,畅通,changed_relief,,,,val_normal:108,2.0,4.0,2.0,4.0,2.0,12.0,1.0,未来路|向北|政七街至黄河路|畅通,,
heldout_coverage,农业路|向西|花园路至未来路|畅通,农业路,向西,花园路至未来路,畅通,changed_relief,,,,val_normal:109,4.0,5.0,4.0,9.0,6.0,19.0,1.0,农业路|向西|花园路至未来路|畅通,,
heldout_coverage,红专路|向西|花园路至未来路|畅通,红专路,向西,花园路至未来路,畅通,changed_relief,,,,val_normal:112,2.0,4.0,2.0,5.0,3.0,6.0,1.0,红专路|向西|花园路至未来路|畅通,,
heldout_coverage,未来路|向南|红专路至政七街|畅通,未来路,向南,红专路至政七街,畅通,changed_relief,,,,val_normal:122,2.0,4.0,2.0,8.0,4.0,12.0,1.0,未来路|向南|红专路至政七街|畅通,,
heldout_coverage,花园路|向南|黄河路至纬五路|畅通,花园路,向南,黄河路至纬五路,畅通,changed_relief,,,,val_normal:134,2.0,2.0,2.0,3.0,3.0,5.0,1.0,花园路|向南|黄河路至纬五路|畅通,,
heldout_coverage,纬五路|向东|花园路至未来路|畅通,纬五路,向东,花园路至未来路,畅通,changed_relief,,,,val_normal:140,2.0,3.0,2.0,7.0,5.0,9.0,1.0,纬五路|向东|花园路至未来路|畅通,,
heldout_coverage,经八路|向南|红专路至政七街|畅通,经八路,向南,红专路至政七街,畅通,changed_relief,,,,val_normal:148,2.0,2.0,2.0,5.0,5.0,7.0,1.0,经八路|向南|红专路至政七街|畅通,,
heldout_coverage,政七街|向西|经一路至经三路|畅通,政七街,向西,经一路至经三路,畅通,changed_relief,,,,val_normal:158,2.0,4.0,2.0,4.0,2.0,5.0,1.0,政七街|向西|经一路至经三路|畅通,,
heldout_coverage,未来路|向南|政七街至黄河路|畅通,未来路,向南,政七街至黄河路,畅通,changed_relief,,,,val_normal:159,2.0,4.0,2.0,8.0,4.0,12.0,1.0,未来路|向南|政七街至黄河路|畅通,,
aggregate,,,,,,,,,,,,,,,,,,,train_signature_unique_count,45
aggregate,,,,,,,,,,,,,,,,,,,heldout_sample_exact_signature_coverage,20/20
aggregate,,,,,,,,,,,,,,,,,,,heldout_sample_pattern_rdrt_coverage,20/20
aggregate,,,,,,,,,,,,,,,,,,,heldout_best_pattern_score_avg,1.0
