scenario,method,path_cost,path_len,constraint_rate,planning_ms,plan_ms,init_ms,infer_ms,smooth_ms,sim_ms,total_ms,timing_info,timing_info_json,cold_start,warm_start,warmup_excluded,parsed_edges,parsed_edge_ratio,signal_edges,signal_ratio,default_edges,coverage,time_s,sumo_time,total_edges,status,failed,failure_reason,parse_failed,parse_failure_reason,fallback_status
场景A 黄河路单向拥堵,Sparse-LoRA★★,18.2,6,100.0,0.08,0.08,1796.06,1145.88,0.0,1827.39,4769.4,"{'init_ms': 1796.06, 'infer_ms': 1145.88, 'smooth_ms': 0.0, 'total_ms': 4769.4, 'cold_start': True}","{""init_ms"": 1796.06, ""infer_ms"": 1145.88, ""smooth_ms"": 0.0, ""total_ms"": 4769.4, ""cold_start"": true}",True,False,True,9,9.4,9,9.4,87,9.4,1.15,436.8,96,ok,False,,False,,ok
场景A 黄河路单向拥堵,Sparse-LoRA+GAT★★★,18.41,6,100.0,0.07,0.07,1796.06,1168.11,0.0,1972.11,4936.35,"{'init_ms': 1796.06, 'infer_ms': 1168.11, 'smooth_ms': 0.0, 'total_ms': 4936.35, 'cold_start': True}","{""init_ms"": 1796.06, ""infer_ms"": 1168.11, ""smooth_ms"": 0.0, ""total_ms"": 4936.35, ""cold_start"": true}",True,False,True,9,9.4,62,64.6,34,64.6,1.17,436.8,96,ok,False,,False,,ok
场景B 花园路封闭绕行,Dijkstra,4.0,4,60.0,0.04,0.04,0.0,0.0,0.0,2720.65,2720.69,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 2720.69, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 2720.69, ""cold_start"": false}",False,True,True,0,0.0,0,0.0,96,0.0,0.0,1685.0,96,ok,False,,False,,ok
场景B 花园路封闭绕行,Rule-A*,16.5,5,100.0,0.04,0.04,0.0,0.0,0.0,2154.31,2154.35,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 2154.35, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 2154.35, ""cold_start"": false}",False,True,True,96,100.0,88,91.7,8,91.7,0.0,708.4,96,ok,False,,False,,ok
场景B 花园路封闭绕行,DQN,62.6,26,100.0,0.04,0.04,0.0,0.0,0.0,2718.88,2718.93,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 2718.93, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 2718.93, ""cold_start"": false}",False,True,True,96,100.0,88,91.7,8,91.7,0.0,1865.2,96,ok,False,,False,,ok
场景B 花园路封闭绕行,GCN-Weight,16.3,5,100.0,0.05,0.05,0.0,0.0,0.0,2042.03,2042.08,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 2042.08, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 2042.08, ""cold_start"": false}",False,True,True,96,100.0,70,72.9,26,72.9,0.0,708.4,96,ok,False,,False,,ok
场景B 花园路封闭绕行,Raw-Qwen,8.0,4,60.0,0.04,0.04,0.0,4970.49,0.0,2884.35,7854.87,"{'init_ms': 0.0, 'infer_ms': 4970.49, 'smooth_ms': 0.0, 'total_ms': 7854.87, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 4970.49, ""smooth_ms"": 0.0, ""total_ms"": 7854.87, ""cold_start"": false}",False,True,True,0,0.0,0,0.0,96,0.0,4.97,1685.0,96,ok,False,,False,,ok
场景B 花园路封闭绕行,CoT-Qwen,10.0,5,60.0,0.06,0.06,0.0,11598.64,0.0,2252.47,13851.17,"{'init_ms': 0.0, 'infer_ms': 11598.64, 'smooth_ms': 0.0, 'total_ms': 13851.17, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 11598.64, ""smooth_ms"": 0.0, ""total_ms"": 13851.17, ""cold_start"": false}",False,True,True,3,3.1,3,3.1,93,3.1,11.6,991.5,96,ok,False,,False,,ok
场景B 花园路封闭绕行,Qwen-LoRA★,12.7,5,100.0,0.03,0.03,0.0,20049.97,0.0,2035.7,22085.7,"{'init_ms': 0.0, 'infer_ms': 20049.97, 'smooth_ms': 0.0, 'total_ms': 22085.7, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 20049.97, ""smooth_ms"": 0.0, ""total_ms"": 22085.7, ""cold_start"": false}",False,True,True,96,100.0,65,67.7,31,67.7,20.05,708.4,96,ok,False,,False,,ok
场景B 花园路封闭绕行,LoRA+GAT★★,13.79,5,100.0,0.03,0.03,0.0,19727.97,0.0,1992.28,21720.29,"{'init_ms': 0.0, 'infer_ms': 19727.97, 'smooth_ms': 0.0, 'total_ms': 21720.29, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 19727.97, ""smooth_ms"": 0.0, ""total_ms"": 21720.29, ""cold_start"": false}",False,True,True,96,100.0,84,87.5,12,87.5,19.73,708.4,96,ok,False,,False,,ok
场景B 花园路封闭绕行,R1-Raw,16.5,5,40.0,0.02,0.02,0.0,26070.52,0.0,2185.26,28255.8,"{'init_ms': 0.0, 'infer_ms': 26070.52, 'smooth_ms': 0.0, 'total_ms': 28255.8, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 26070.52, ""smooth_ms"": 0.0, ""total_ms"": 28255.8, ""cold_start"": false}",False,True,True,76,79.2,76,79.2,20,79.2,26.07,708.4,96,ok,False,,False,,ok
场景B 花园路封闭绕行,R1-LoRA★,22.0,4,80.0,0.06,0.06,0.0,27164.77,0.0,2679.56,29844.39,"{'init_ms': 0.0, 'infer_ms': 27164.77, 'smooth_ms': 0.0, 'total_ms': 29844.39, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 27164.77, ""smooth_ms"": 0.0, ""total_ms"": 29844.39, ""cold_start"": false}",False,True,True,96,100.0,96,100.0,0,100.0,27.16,1685.0,96,ok,False,,False,,ok
场景B 花园路封闭绕行,Sparse-LoRA★★,17.7,5,100.0,0.08,0.08,0.0,1144.69,0.0,1950.55,3095.33,"{'init_ms': 0.0, 'infer_ms': 1144.69, 'smooth_ms': 0.0, 'total_ms': 3095.33, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 1144.69, ""smooth_ms"": 0.0, ""total_ms"": 3095.33, ""cold_start"": false}",False,True,True,8,8.3,8,8.3,88,8.3,1.14,708.4,96,ok,False,,False,,ok
场景B 花园路封闭绕行,Sparse-LoRA+GAT★★★,17.87,5,100.0,0.06,0.06,0.0,1163.09,0.0,1943.3,3106.45,"{'init_ms': 0.0, 'infer_ms': 1163.09, 'smooth_ms': 0.0, 'total_ms': 3106.45, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 1163.09, ""smooth_ms"": 0.0, ""total_ms"": 3106.45, ""cold_start"": false}",False,True,True,8,8.3,62,64.6,34,64.6,1.16,708.4,96,ok,False,,False,,ok
场景C 多路段复合拥堵,Dijkstra,8.0,8,0.0,0.08,0.08,0.0,0.0,0.0,1957.68,1957.76,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 1957.76, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 1957.76, ""cold_start"": false}",False,True,True,0,0.0,0,0.0,96,0.0,0.0,649.8,96,ok,False,,False,,ok
场景C 多路段复合拥堵,Rule-A*,17.2,8,28.6,0.07,0.07,0.0,0.0,0.0,1880.8,1880.87,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 1880.87, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 1880.87, ""cold_start"": false}",False,True,True,96,100.0,88,91.7,8,91.7,0.0,544.6,96,ok,False,,False,,ok
场景C 多路段复合拥堵,DQN,10.0,4,28.6,0.08,0.08,0.0,0.0,0.0,1751.21,1751.28,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 1751.28, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 1751.28, ""cold_start"": false}",False,True,True,96,100.0,88,91.7,8,91.7,0.0,268.2,96,ok,False,,False,,ok
场景C 多路段复合拥堵,GCN-Weight,14.75,8,28.6,0.08,0.08,0.0,0.0,0.0,1887.71,1887.78,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 1887.78, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 1887.78, ""cold_start"": false}",False,True,True,96,100.0,70,72.9,26,72.9,0.0,533.6,96,ok,False,,False,,ok
场景C 多路段复合拥堵,Raw-Qwen,16.0,8,0.0,0.08,0.08,0.0,7209.44,0.0,1904.02,9113.54,"{'init_ms': 0.0, 'infer_ms': 7209.44, 'smooth_ms': 0.0, 'total_ms': 9113.54, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 7209.44, ""smooth_ms"": 0.0, ""total_ms"": 9113.54, ""cold_start"": false}",False,True,True,0,0.0,0,0.0,96,0.0,7.21,649.8,96,ok,False,,False,,ok
场景C 多路段复合拥堵,CoT-Qwen,16.0,8,0.0,0.08,0.08,0.0,8515.46,0.0,1863.11,10378.65,"{'init_ms': 0.0, 'infer_ms': 8515.46, 'smooth_ms': 0.0, 'total_ms': 10378.65, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 8515.46, ""smooth_ms"": 0.0, ""total_ms"": 10378.65, ""cold_start"": false}",False,True,True,3,3.1,3,3.1,93,3.1,8.52,588.7,96,ok,False,,False,,ok
场景C 多路段复合拥堵,Qwen-LoRA★,16.0,8,0.0,0.08,0.08,0.0,12006.61,0.0,1898.4,13905.1,"{'init_ms': 0.0, 'infer_ms': 12006.61, 'smooth_ms': 0.0, 'total_ms': 13905.1, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 12006.61, ""smooth_ms"": 0.0, ""total_ms"": 13905.1, ""cold_start"": false}",False,True,True,0,0.0,0,0.0,96,0.0,12.01,649.8,96,parse_failed_default_2.0,False,,True,parser returned no valid edge weights; fallback to default 2.0,parse_failed_default_2.0
场景C 多路段复合拥堵,LoRA+GAT★★,16.16,8,0.0,0.08,0.08,0.0,11993.44,0.0,1919.83,13913.35,"{'init_ms': 0.0, 'infer_ms': 11993.44, 'smooth_ms': 0.0, 'total_ms': 13913.35, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 11993.44, ""smooth_ms"": 0.0, ""total_ms"": 13913.35, ""cold_start"": false}",False,True,True,0,0.0,40,41.7,56,41.7,11.99,544.6,96,parse_failed_default_2.0,False,,True,parser returned no valid edge weights; fallback to default 2.0,parse_failed_default_2.0
场景C 多路段复合拥堵,R1-Raw,21.5,8,0.0,0.08,0.08,0.0,14170.59,0.0,1903.72,16074.39,"{'init_ms': 0.0, 'infer_ms': 14170.59, 'smooth_ms': 0.0, 'total_ms': 16074.39, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 14170.59, ""smooth_ms"": 0.0, ""total_ms"": 16074.39, ""cold_start"": false}",False,True,True,20,20.8,19,19.8,77,19.8,14.17,649.8,96,ok,False,,False,,ok
场景C 多路段复合拥堵,R1-LoRA★,5.4,8,0.0,0.08,0.08,0.0,26203.97,0.0,1865.32,28069.38,"{'init_ms': 0.0, 'infer_ms': 26203.97, 'smooth_ms': 0.0, 'total_ms': 28069.38, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 26203.97, ""smooth_ms"": 0.0, ""total_ms"": 28069.38, ""cold_start"": false}",False,True,True,96,100.0,51,53.1,45,53.1,26.2,588.7,96,ok,False,,False,,ok
场景C 多路段复合拥堵,Sparse-LoRA★★,16.0,8,28.6,0.08,0.08,0.0,1496.12,0.0,1844.04,3340.24,"{'init_ms': 0.0, 'infer_ms': 1496.12, 'smooth_ms': 0.0, 'total_ms': 3340.24, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 1496.12, ""smooth_ms"": 0.0, ""total_ms"": 3340.24, ""cold_start"": false}",False,True,True,9,9.4,9,9.4,87,9.4,1.5,544.6,96,ok,False,,False,,ok
场景C 多路段复合拥堵,Sparse-LoRA+GAT★★★,16.14,8,28.6,0.08,0.08,0.0,1515.07,0.0,2123.43,3638.57,"{'init_ms': 0.0, 'infer_ms': 1515.07, 'smooth_ms': 0.0, 'total_ms': 3638.57, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 1515.07, ""smooth_ms"": 0.0, ""total_ms"": 3638.57, ""cold_start"": false}",False,True,True,9,9.4,46,47.9,50,47.9,1.52,544.6,96,ok,False,,False,,ok
场景D 中央核心节点封锁（强迫大范围绕行）,Dijkstra,8.0,8,26.7,0.13,0.13,0.0,0.0,0.0,2069.2,2069.33,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 2069.33, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 2069.33, ""cold_start"": false}",False,True,True,0,0.0,0,0.0,96,0.0,0.0,536.5,96,ok,False,,False,,ok
场景D 中央核心节点封锁（强迫大范围绕行）,Rule-A*,17.6,8,46.7,0.08,0.08,0.0,0.0,0.0,1915.55,1915.63,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 1915.63, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 1915.63, ""cold_start"": false}",False,True,True,96,100.0,88,91.7,8,91.7,0.0,490.4,96,ok,False,,False,,ok
场景D 中央核心节点封锁（强迫大范围绕行）,DQN,10.0,4,46.7,0.08,0.08,0.0,0.0,0.0,1827.26,1827.34,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 1827.34, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 1827.34, ""cold_start"": false}",False,True,True,96,100.0,88,91.7,8,91.7,0.0,268.2,96,ok,False,,False,,ok
场景D 中央核心节点封锁（强迫大范围绕行）,GCN-Weight,15.95,8,46.7,0.13,0.13,0.0,0.0,0.0,2196.85,2196.98,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 2196.98, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 2196.98, ""cold_start"": false}",False,True,True,96,100.0,70,72.9,26,72.9,0.0,682.2,96,ok,False,,False,,ok
场景D 中央核心节点封锁（强迫大范围绕行）,Raw-Qwen,16.0,8,26.7,0.08,0.08,0.0,11360.91,0.0,2028.38,13389.36,"{'init_ms': 0.0, 'infer_ms': 11360.91, 'smooth_ms': 0.0, 'total_ms': 13389.36, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 11360.91, ""smooth_ms"": 0.0, ""total_ms"": 13389.36, ""cold_start"": false}",False,True,True,0,0.0,0,0.0,96,0.0,11.36,536.5,96,ok,False,,False,,ok
场景D 中央核心节点封锁（强迫大范围绕行）,CoT-Qwen,16.0,8,33.3,0.08,0.08,0.0,5774.17,0.0,1852.85,7627.09,"{'init_ms': 0.0, 'infer_ms': 5774.17, 'smooth_ms': 0.0, 'total_ms': 7627.09, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 5774.17, ""smooth_ms"": 0.0, ""total_ms"": 7627.09, ""cold_start"": false}",False,True,True,3,3.1,3,3.1,93,3.1,5.77,536.5,96,ok,False,,False,,ok
场景D 中央核心节点封锁（强迫大范围绕行）,Qwen-LoRA★,16.0,8,26.7,0.08,0.08,0.0,10528.97,0.0,1847.26,12376.31,"{'init_ms': 0.0, 'infer_ms': 10528.97, 'smooth_ms': 0.0, 'total_ms': 12376.31, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 10528.97, ""smooth_ms"": 0.0, ""total_ms"": 12376.31, ""cold_start"": false}",False,True,True,0,0.0,0,0.0,96,0.0,10.53,536.5,96,parse_failed_default_2.0,False,,True,parser returned no valid edge weights; fallback to default 2.0,parse_failed_default_2.0
场景D 中央核心节点封锁（强迫大范围绕行）,LoRA+GAT★★,16.27,8,26.7,0.09,0.09,0.0,10538.69,0.0,1895.71,12434.48,"{'init_ms': 0.0, 'infer_ms': 10538.69, 'smooth_ms': 0.0, 'total_ms': 12434.48, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 10538.69, ""smooth_ms"": 0.0, ""total_ms"": 12434.48, ""cold_start"": false}",False,True,True,0,0.0,40,41.7,56,41.7,10.54,536.5,96,parse_failed_default_2.0,False,,True,parser returned no valid edge weights; fallback to default 2.0,parse_failed_default_2.0
场景D 中央核心节点封锁（强迫大范围绕行）,R1-Raw,23.5,8,26.7,0.06,0.06,0.0,49229.05,0.0,1838.1,51067.21,"{'init_ms': 0.0, 'infer_ms': 49229.05, 'smooth_ms': 0.0, 'total_ms': 51067.21, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 49229.05, ""smooth_ms"": 0.0, ""total_ms"": 51067.21, ""cold_start"": false}",False,True,True,94,97.9,38,39.6,58,39.6,49.23,536.5,96,ok,False,,False,,ok
场景D 中央核心节点封锁（强迫大范围绕行）,R1-LoRA★,5.2,8,40.0,0.07,0.07,0.0,29997.21,0.0,1973.39,31970.67,"{'init_ms': 0.0, 'infer_ms': 29997.21, 'smooth_ms': 0.0, 'total_ms': 31970.67, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 29997.21, ""smooth_ms"": 0.0, ""total_ms"": 31970.67, ""cold_start"": false}",False,True,True,96,100.0,56,58.3,40,58.3,30.0,546.5,96,ok,False,,False,,ok
场景D 中央核心节点封锁（强迫大范围绕行）,Sparse-LoRA★★,16.0,8,86.7,0.08,0.08,0.0,1879.2,0.0,2056.9,3936.18,"{'init_ms': 0.0, 'infer_ms': 1879.2, 'smooth_ms': 0.0, 'total_ms': 3936.18, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 1879.2, ""smooth_ms"": 0.0, ""total_ms"": 3936.18, ""cold_start"": false}",False,True,True,12,12.5,12,12.5,84,12.5,1.88,536.5,96,ok,False,,False,,ok
场景D 中央核心节点封锁（强迫大范围绕行）,Sparse-LoRA+GAT★★★,16.83,8,86.7,0.08,0.08,0.0,1859.35,0.0,1860.57,3720.01,"{'init_ms': 0.0, 'infer_ms': 1859.35, 'smooth_ms': 0.0, 'total_ms': 3720.01, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 1859.35, ""smooth_ms"": 0.0, ""total_ms"": 3720.01, ""cold_start"": false}",False,True,True,12,12.5,62,64.6,34,64.6,1.86,490.4,96,ok,False,,False,,ok
场景E 不对称方向拥堵（测试模型方向提取能力）,Dijkstra,5.0,5,36.4,0.06,0.06,0.0,0.0,0.0,2014.45,2014.51,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 2014.51, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 2014.51, ""cold_start"": false}",False,True,True,0,0.0,0,0.0,96,0.0,0.0,773.7,96,ok,False,,False,,ok
场景E 不对称方向拥堵（测试模型方向提取能力）,Rule-A*,21.2,8,72.7,0.07,0.07,0.0,0.0,0.0,1850.39,1850.46,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 1850.46, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 1850.46, ""cold_start"": false}",False,True,True,96,100.0,88,91.7,8,91.7,0.0,454.6,96,ok,False,,False,,ok
场景E 不对称方向拥堵（测试模型方向提取能力）,DQN,33.7,15,72.7,0.07,0.07,0.0,0.0,0.0,2230.81,2230.88,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 2230.88, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 2230.88, ""cold_start"": false}",False,True,True,96,100.0,88,91.7,8,91.7,0.0,889.0,96,ok,False,,False,,ok
场景E 不对称方向拥堵（测试模型方向提取能力）,GCN-Weight,17.45,6,72.7,0.06,0.06,0.0,0.0,0.0,1941.06,1941.11,"{'init_ms': 0.0, 'infer_ms': 0.0, 'smooth_ms': 0.0, 'total_ms': 1941.11, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 0.0, ""smooth_ms"": 0.0, ""total_ms"": 1941.11, ""cold_start"": false}",False,True,True,96,100.0,68,70.8,28,70.8,0.0,394.1,96,ok,False,,False,,ok
场景E 不对称方向拥堵（测试模型方向提取能力）,Raw-Qwen,10.0,5,36.4,0.05,0.05,0.0,5959.69,0.0,2080.99,8040.73,"{'init_ms': 0.0, 'infer_ms': 5959.69, 'smooth_ms': 0.0, 'total_ms': 8040.73, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 5959.69, ""smooth_ms"": 0.0, ""total_ms"": 8040.73, ""cold_start"": false}",False,True,True,0,0.0,0,0.0,96,0.0,5.96,773.7,96,ok,False,,False,,ok
场景E 不对称方向拥堵（测试模型方向提取能力）,CoT-Qwen,10.0,5,36.4,0.06,0.06,0.0,3081.81,0.0,2065.25,5147.12,"{'init_ms': 0.0, 'infer_ms': 3081.81, 'smooth_ms': 0.0, 'total_ms': 5147.12, 'cold_start': False}","{""init_ms"": 0.0, ""infer_ms"": 3081.81, ""smooth_ms"": 0.0, ""total_ms"": 5147.12, ""cold_start"": false}",False,True,True,3,3.1,3,3.1,93,3.1,3.08,773.7,96,ok,False,,False,,ok
