scenario,preset_id,scene_profile,method,start_edge,end_edge,travel_time_s,time_loss_s,waiting_time_s,stop_count,vehicle_arrived,simulation_truncated,completion_status,planning_time_s,model_infer_time_s,route_solve_time_s,constraint_rate,signal_ratio,signal_edges,parsed_edges,parsed_edge_ratio,default_edges,path_len,path_cost,simulation_seed,warmup_seconds,evaluation_start_time,evaluation_end_time,scene_profile_version,use_gat,model_path,protocol_snapshot_json,notes
场景G 传播范围外溢,G,propagation_range,Rule-A*,R0C0_E,C4R3_N,1219.9,912.91,900.3,3,True,False,arrived,0.000687,0.0,0.000687,50.0,91.7,88,96,100.0,8,8,17.6,404,240,240,2400,sha256:012f7472d50a,False,,"{""evaluation_end_time"": 2400, ""evaluation_start_time"": 240, ""legacy_field_mapping"": {""infer_time"": ""model_infer_time_s"", ""plan_ms"": ""planning_time_ms"", ""planning_ms"": ""planning_time_ms"", ""sumo_time"": ""travel_time_s"", ""time_s"": ""planning_time_s"", ""travel_time"": ""travel_time_s"", ""true_travel_time"": ""analytical_travel_time_s_legacy""}, ""legacy_field_notes"": {""infer_time"": ""Model inference-only time; this is a subcomponent of planning time, not travel time."", ""plan_ms"": ""Legacy planning latency field in milliseconds."", ""planning_ms"": ""Legacy planning latency field in milliseconds."", ""sumo_time"": ""SUMO-measured vehicle travel time in seconds."", ""time_s"": ""Legacy seconds field that was often used for inference or planning time, depending on the script."", ""travel_time"": ""SUMO-measured vehicle travel time in seconds in the current app pipeline."", ""true_travel_time"": ""Legacy analytical proxy from evaluate.py rather than a live SUMO trip duration.""}, ""num_eval_seeds"": 1, ""planning_time_definition"": ""Planning Time (s) = model inference time + route solving time only. It excludes SUMO startup, warm-up, simulation stepping, and live vehicle travel."", ""reroute_period"": 45, ""reroute_trigger_mode"": ""periodic"", ""simulation_seed_policy"": ""scene_profile_fixed_seed_single_run"", ""travel_time_definition"": ""Travel Time (s) = SUMO trip duration for the evaluated vehicle only, measured from vehicle depart to vehicle arrival inside the simulator."", ""vehicle_depart_window"": [240, 240], ""warmup_seconds"": 240}",旧规则权重生成保持不变，仅切换为 scene-profile-fixed live SUMO 协议。
场景C 多路段复合拥堵,C,compound_disaster,Rule-A*,R0C0_E,R3C4_E,2153.0,1802.85,1782.0,6,True,False,arrived,0.000635,0.0,0.000635,45.45,91.7,88,96,100.0,8,8,17.2,505,300,300,2700,sha256:012f7472d50a,False,,"{""evaluation_end_time"": 2700, ""evaluation_start_time"": 300, ""legacy_field_mapping"": {""infer_time"": ""model_infer_time_s"", ""plan_ms"": ""planning_time_ms"", ""planning_ms"": ""planning_time_ms"", ""sumo_time"": ""travel_time_s"", ""time_s"": ""planning_time_s"", ""travel_time"": ""travel_time_s"", ""true_travel_time"": ""analytical_travel_time_s_legacy""}, ""legacy_field_notes"": {""infer_time"": ""Model inference-only time; this is a subcomponent of planning time, not travel time."", ""plan_ms"": ""Legacy planning latency field in milliseconds."", ""planning_ms"": ""Legacy planning latency field in milliseconds."", ""sumo_time"": ""SUMO-measured vehicle travel time in seconds."", ""time_s"": ""Legacy seconds field that was often used for inference or planning time, depending on the script."", ""travel_time"": ""SUMO-measured vehicle travel time in seconds in the current app pipeline."", ""true_travel_time"": ""Legacy analytical proxy from evaluate.py rather than a live SUMO trip duration.""}, ""num_eval_seeds"": 1, ""planning_time_definition"": ""Planning Time (s) = model inference time + route solving time only. It excludes SUMO startup, warm-up, simulation stepping, and live vehicle travel."", ""reroute_period"": 30, ""reroute_trigger_mode"": ""periodic"", ""simulation_seed_policy"": ""scene_profile_fixed_seed_single_run"", ""travel_time_definition"": ""Travel Time (s) = SUMO trip duration for the evaluated vehicle only, measured from vehicle depart to vehicle arrival inside the simulator."", ""vehicle_depart_window"": [300, 300], ""warmup_seconds"": 300}",旧规则权重生成保持不变，仅切换为 scene-profile-fixed live SUMO 协议。
场景N normal_baseline 正常通行,N,normal_baseline,DQN,R3C0_E,R3C4_E,1280.0,483.64,387.9,14,True,False,arrived,0.030134,0.0,0.030134,100.0,91.7,88,96,100.0,8,18,36.4,101,120,120,1800,sha256:012f7472d50a,False,,"{""evaluation_end_time"": 1800, ""evaluation_start_time"": 120, ""legacy_field_mapping"": {""infer_time"": ""model_infer_time_s"", ""plan_ms"": ""planning_time_ms"", ""planning_ms"": ""planning_time_ms"", ""sumo_time"": ""travel_time_s"", ""time_s"": ""planning_time_s"", ""travel_time"": ""travel_time_s"", ""true_travel_time"": ""analytical_travel_time_s_legacy""}, ""legacy_field_notes"": {""infer_time"": ""Model inference-only time; this is a subcomponent of planning time, not travel time."", ""plan_ms"": ""Legacy planning latency field in milliseconds."", ""planning_ms"": ""Legacy planning latency field in milliseconds."", ""sumo_time"": ""SUMO-measured vehicle travel time in seconds."", ""time_s"": ""Legacy seconds field that was often used for inference or planning time, depending on the script."", ""travel_time"": ""SUMO-measured vehicle travel time in seconds in the current app pipeline."", ""true_travel_time"": ""Legacy analytical proxy from evaluate.py rather than a live SUMO trip duration.""}, ""num_eval_seeds"": 1, ""planning_time_definition"": ""Planning Time (s) = model inference time + route solving time only. It excludes SUMO startup, warm-up, simulation stepping, and live vehicle travel."", ""reroute_period"": 60, ""reroute_trigger_mode"": ""periodic"", ""simulation_seed_policy"": ""scene_profile_fixed_seed_single_run"", ""travel_time_definition"": ""Travel Time (s) = SUMO trip duration for the evaluated vehicle only, measured from vehicle depart to vehicle arrival inside the simulator."", ""vehicle_depart_window"": [120, 120], ""warmup_seconds"": 120}",轻量 DQN baseline，按当前脚本固定 seed 逐场景训练并走 live SUMO 评测。
场景A 黄河路单向拥堵,A,simple_local,DQN,R3C0_E,R3C4_E,906.8,292.06,239.8,9,True,False,arrived,0.030858,0.0,0.030858,100.0,91.7,88,96,100.0,8,14,32.6,111,180,180,2100,sha256:012f7472d50a,False,,"{""evaluation_end_time"": 2100, ""evaluation_start_time"": 180, ""legacy_field_mapping"": {""infer_time"": ""model_infer_time_s"", ""plan_ms"": ""planning_time_ms"", ""planning_ms"": ""planning_time_ms"", ""sumo_time"": ""travel_time_s"", ""time_s"": ""planning_time_s"", ""travel_time"": ""travel_time_s"", ""true_travel_time"": ""analytical_travel_time_s_legacy""}, ""legacy_field_notes"": {""infer_time"": ""Model inference-only time; this is a subcomponent of planning time, not travel time."", ""plan_ms"": ""Legacy planning latency field in milliseconds."", ""planning_ms"": ""Legacy planning latency field in milliseconds."", ""sumo_time"": ""SUMO-measured vehicle travel time in seconds."", ""time_s"": ""Legacy seconds field that was often used for inference or planning time, depending on the script."", ""travel_time"": ""SUMO-measured vehicle travel time in seconds in the current app pipeline."", ""true_travel_time"": ""Legacy analytical proxy from evaluate.py rather than a live SUMO trip duration.""}, ""num_eval_seeds"": 1, ""planning_time_definition"": ""Planning Time (s) = model inference time + route solving time only. It excludes SUMO startup, warm-up, simulation stepping, and live vehicle travel."", ""reroute_period"": 60, ""reroute_trigger_mode"": ""periodic"", ""simulation_seed_policy"": ""scene_profile_fixed_seed_single_run"", ""travel_time_definition"": ""Travel Time (s) = SUMO trip duration for the evaluated vehicle only, measured from vehicle depart to vehicle arrival inside the simulator."", ""vehicle_depart_window"": [180, 180], ""warmup_seconds"": 180}",轻量 DQN baseline，按当前脚本固定 seed 逐场景训练并走 live SUMO 评测。
场景E 方向不对称拥堵,E,directional_asymmetry,DQN,R4C0_E,R4C4_E,1872.3,919.21,900.3,3,True,False,arrived,0.039905,0.0,0.039905,85.71,91.7,88,96,100.0,8,15,33.7,202,180,180,2100,sha256:012f7472d50a,False,,"{""evaluation_end_time"": 2100, ""evaluation_start_time"": 180, ""legacy_field_mapping"": {""infer_time"": ""model_infer_time_s"", ""plan_ms"": ""planning_time_ms"", ""planning_ms"": ""planning_time_ms"", ""sumo_time"": ""travel_time_s"", ""time_s"": ""planning_time_s"", ""travel_time"": ""travel_time_s"", ""true_travel_time"": ""analytical_travel_time_s_legacy""}, ""legacy_field_notes"": {""infer_time"": ""Model inference-only time; this is a subcomponent of planning time, not travel time."", ""plan_ms"": ""Legacy planning latency field in milliseconds."", ""planning_ms"": ""Legacy planning latency field in milliseconds."", ""sumo_time"": ""SUMO-measured vehicle travel time in seconds."", ""time_s"": ""Legacy seconds field that was often used for inference or planning time, depending on the script."", ""travel_time"": ""SUMO-measured vehicle travel time in seconds in the current app pipeline."", ""true_travel_time"": ""Legacy analytical proxy from evaluate.py rather than a live SUMO trip duration.""}, ""num_eval_seeds"": 1, ""planning_time_definition"": ""Planning Time (s) = model inference time + route solving time only. It excludes SUMO startup, warm-up, simulation stepping, and live vehicle travel."", ""reroute_period"": 60, ""reroute_trigger_mode"": ""periodic"", ""simulation_seed_policy"": ""scene_profile_fixed_seed_single_run"", ""travel_time_definition"": ""Travel Time (s) = SUMO trip duration for the evaluated vehicle only, measured from vehicle depart to vehicle arrival inside the simulator."", ""vehicle_depart_window"": [180, 180], ""warmup_seconds"": 180}",轻量 DQN baseline，按当前脚本固定 seed 逐场景训练并走 live SUMO 评测。
场景D 中央核心节点封锁,D,core_blockage,DQN,R0C0_E,R4C3_E,2160.1,1786.84,1768.1,6,False,True,truncated_at_evaluation_end,0.023793,0.0,0.023793,37.5,91.7,88,96,100.0,8,9,17.5,303,240,240,2400,sha256:012f7472d50a,False,,"{""evaluation_end_time"": 2400, ""evaluation_start_time"": 240, ""legacy_field_mapping"": {""infer_time"": ""model_infer_time_s"", ""plan_ms"": ""planning_time_ms"", ""planning_ms"": ""planning_time_ms"", ""sumo_time"": ""travel_time_s"", ""time_s"": ""planning_time_s"", ""travel_time"": ""travel_time_s"", ""true_travel_time"": ""analytical_travel_time_s_legacy""}, ""legacy_field_notes"": {""infer_time"": ""Model inference-only time; this is a subcomponent of planning time, not travel time."", ""plan_ms"": ""Legacy planning latency field in milliseconds."", ""planning_ms"": ""Legacy planning latency field in milliseconds."", ""sumo_time"": ""SUMO-measured vehicle travel time in seconds."", ""time_s"": ""Legacy seconds field that was often used for inference or planning time, depending on the script."", ""travel_time"": ""SUMO-measured vehicle travel time in seconds in the current app pipeline."", ""true_travel_time"": ""Legacy analytical proxy from evaluate.py rather than a live SUMO trip duration.""}, ""num_eval_seeds"": 1, ""planning_time_definition"": ""Planning Time (s) = model inference time + route solving time only. It excludes SUMO startup, warm-up, simulation stepping, and live vehicle travel."", ""reroute_period"": 60, ""reroute_trigger_mode"": ""periodic"", ""simulation_seed_policy"": ""scene_profile_fixed_seed_single_run"", ""travel_time_definition"": ""Travel Time (s) = SUMO trip duration for the evaluated vehicle only, measured from vehicle depart to vehicle arrival inside the simulator."", ""vehicle_depart_window"": [240, 240], ""warmup_seconds"": 240}",轻量 DQN baseline，按当前脚本固定 seed 逐场景训练并走 live SUMO 评测。
场景G 传播范围外溢,G,propagation_range,DQN,R0C0_E,C4R3_N,2160.1,1808.86,1790.2,6,False,True,truncated_at_evaluation_end,0.03286,0.0,0.03286,50.0,91.7,88,96,100.0,8,24,54.1,404,240,240,2400,sha256:012f7472d50a,False,,"{""evaluation_end_time"": 2400, ""evaluation_start_time"": 240, ""legacy_field_mapping"": {""infer_time"": ""model_infer_time_s"", ""plan_ms"": ""planning_time_ms"", ""planning_ms"": ""planning_time_ms"", ""sumo_time"": ""travel_time_s"", ""time_s"": ""planning_time_s"", ""travel_time"": ""travel_time_s"", ""true_travel_time"": ""analytical_travel_time_s_legacy""}, ""legacy_field_notes"": {""infer_time"": ""Model inference-only time; this is a subcomponent of planning time, not travel time."", ""plan_ms"": ""Legacy planning latency field in milliseconds."", ""planning_ms"": ""Legacy planning latency field in milliseconds."", ""sumo_time"": ""SUMO-measured vehicle travel time in seconds."", ""time_s"": ""Legacy seconds field that was often used for inference or planning time, depending on the script."", ""travel_time"": ""SUMO-measured vehicle travel time in seconds in the current app pipeline."", ""true_travel_time"": ""Legacy analytical proxy from evaluate.py rather than a live SUMO trip duration.""}, ""num_eval_seeds"": 1, ""planning_time_definition"": ""Planning Time (s) = model inference time + route solving time only. It excludes SUMO startup, warm-up, simulation stepping, and live vehicle travel."", ""reroute_period"": 45, ""reroute_trigger_mode"": ""periodic"", ""simulation_seed_policy"": ""scene_profile_fixed_seed_single_run"", ""travel_time_definition"": ""Travel Time (s) = SUMO trip duration for the evaluated vehicle only, measured from vehicle depart to vehicle arrival inside the simulator."", ""vehicle_depart_window"": [240, 240], ""warmup_seconds"": 240}",轻量 DQN baseline，按当前脚本固定 seed 逐场景训练并走 live SUMO 评测。
场景C 多路段复合拥堵,C,compound_disaster,DQN,R0C0_E,R3C4_E,2400.1,2004.84,1981.0,7,False,True,truncated_at_evaluation_end,0.033148,0.0,0.033148,45.45,91.7,88,96,100.0,8,24,57.1,505,300,300,2700,sha256:012f7472d50a,False,,"{""evaluation_end_time"": 2700, ""evaluation_start_time"": 300, ""legacy_field_mapping"": {""infer_time"": ""model_infer_time_s"", ""plan_ms"": ""planning_time_ms"", ""planning_ms"": ""planning_time_ms"", ""sumo_time"": ""travel_time_s"", ""time_s"": ""planning_time_s"", ""travel_time"": ""travel_time_s"", ""true_travel_time"": ""analytical_travel_time_s_legacy""}, ""legacy_field_notes"": {""infer_time"": ""Model inference-only time; this is a subcomponent of planning time, not travel time."", ""plan_ms"": ""Legacy planning latency field in milliseconds."", ""planning_ms"": ""Legacy planning latency field in milliseconds."", ""sumo_time"": ""SUMO-measured vehicle travel time in seconds."", ""time_s"": ""Legacy seconds field that was often used for inference or planning time, depending on the script."", ""travel_time"": ""SUMO-measured vehicle travel time in seconds in the current app pipeline."", ""true_travel_time"": ""Legacy analytical proxy from evaluate.py rather than a live SUMO trip duration.""}, ""num_eval_seeds"": 1, ""planning_time_definition"": ""Planning Time (s) = model inference time + route solving time only. It excludes SUMO startup, warm-up, simulation stepping, and live vehicle travel."", ""reroute_period"": 30, ""reroute_trigger_mode"": ""periodic"", ""simulation_seed_policy"": ""scene_profile_fixed_seed_single_run"", ""travel_time_definition"": ""Travel Time (s) = SUMO trip duration for the evaluated vehicle only, measured from vehicle depart to vehicle arrival inside the simulator."", ""vehicle_depart_window"": [300, 300], ""warmup_seconds"": 300}",轻量 DQN baseline，按当前脚本固定 seed 逐场景训练并走 live SUMO 评测。
场景N normal_baseline 正常通行,N,normal_baseline,GCN-Weight,R3C0_E,R3C4_E,236.0,40.33,23.5,2,True,False,arrived,0.000947,0.0,0.000947,100.0,70.8,68,96,100.0,28,5,10.7,101,120,120,1800,sha256:012f7472d50a,False,,"{""evaluation_end_time"": 1800, ""evaluation_start_time"": 120, ""legacy_field_mapping"": {""infer_time"": ""model_infer_time_s"", ""plan_ms"": ""planning_time_ms"", ""planning_ms"": ""planning_time_ms"", ""sumo_time"": ""travel_time_s"", ""time_s"": ""planning_time_s"", ""travel_time"": ""travel_time_s"", ""true_travel_time"": ""analytical_travel_time_s_legacy""}, ""legacy_field_notes"": {""infer_time"": ""Model inference-only time; this is a subcomponent of planning time, not travel time."", ""plan_ms"": ""Legacy planning latency field in milliseconds."", ""planning_ms"": ""Legacy planning latency field in milliseconds."", ""sumo_time"": ""SUMO-measured vehicle travel time in seconds."", ""time_s"": ""Legacy seconds field that was often used for inference or planning time, depending on the script."", ""travel_time"": ""SUMO-measured vehicle travel time in seconds in the current app pipeline."", ""true_travel_time"": ""Legacy analytical proxy from evaluate.py rather than a live SUMO trip duration.""}, ""num_eval_seeds"": 1, ""planning_time_definition"": ""Planning Time (s) = model inference time + route solving time only. It excludes SUMO startup, warm-up, simulation stepping, and live vehicle travel."", ""reroute_period"": 60, ""reroute_trigger_mode"": ""periodic"", ""simulation_seed_policy"": ""scene_profile_fixed_seed_single_run"", ""travel_time_definition"": ""Travel Time (s) = SUMO trip duration for the evaluated vehicle only, measured from vehicle depart to vehicle arrival inside the simulator."", ""vehicle_depart_window"": [120, 120], ""warmup_seconds"": 120}",轻量图特征权重估计 baseline，走 scene-profile-fixed live SUMO 评测。
场景A 黄河路单向拥堵,A,simple_local,GCN-Weight,R3C0_E,R3C4_E,706.8,416.15,395.0,4,True,False,arrived,0.001048,0.0,0.001048,100.0,72.9,70,96,100.0,26,6,16.4,111,180,180,2100,sha256:012f7472d50a,False,,"{""evaluation_end_time"": 2100, ""evaluation_start_time"": 180, ""legacy_field_mapping"": {""infer_time"": ""model_infer_time_s"", ""plan_ms"": ""planning_time_ms"", ""planning_ms"": ""planning_time_ms"", ""sumo_time"": ""travel_time_s"", ""time_s"": ""planning_time_s"", ""travel_time"": ""travel_time_s"", ""true_travel_time"": ""analytical_travel_time_s_legacy""}, ""legacy_field_notes"": {""infer_time"": ""Model inference-only time; this is a subcomponent of planning time, not travel time."", ""plan_ms"": ""Legacy planning latency field in milliseconds."", ""planning_ms"": ""Legacy planning latency field in milliseconds."", ""sumo_time"": ""SUMO-measured vehicle travel time in seconds."", ""time_s"": ""Legacy seconds field that was often used for inference or planning time, depending on the script."", ""travel_time"": ""SUMO-measured vehicle travel time in seconds in the current app pipeline."", ""true_travel_time"": ""Legacy analytical proxy from evaluate.py rather than a live SUMO trip duration.""}, ""num_eval_seeds"": 1, ""planning_time_definition"": ""Planning Time (s) = model inference time + route solving time only. It excludes SUMO startup, warm-up, simulation stepping, and live vehicle travel."", ""reroute_period"": 60, ""reroute_trigger_mode"": ""periodic"", ""simulation_seed_policy"": ""scene_profile_fixed_seed_single_run"", ""travel_time_definition"": ""Travel Time (s) = SUMO trip duration for the evaluated vehicle only, measured from vehicle depart to vehicle arrival inside the simulator."", ""vehicle_depart_window"": [180, 180], ""warmup_seconds"": 180}",轻量图特征权重估计 baseline，走 scene-profile-fixed live SUMO 评测。
场景E 方向不对称拥堵,E,directional_asymmetry,GCN-Weight,R4C0_E,R4C4_E,1336.7,913.45,900.3,3,True,False,arrived,0.001001,0.0,0.001001,71.43,70.8,68,96,100.0,28,6,17.45,202,180,180,2100,sha256:012f7472d50a,False,,"{""evaluation_end_time"": 2100, ""evaluation_start_time"": 180, ""legacy_field_mapping"": {""infer_time"": ""model_infer_time_s"", ""plan_ms"": ""planning_time_ms"", ""planning_ms"": ""planning_time_ms"", ""sumo_time"": ""travel_time_s"", ""time_s"": ""planning_time_s"", ""travel_time"": ""travel_time_s"", ""true_travel_time"": ""analytical_travel_time_s_legacy""}, ""legacy_field_notes"": {""infer_time"": ""Model inference-only time; this is a subcomponent of planning time, not travel time."", ""plan_ms"": ""Legacy planning latency field in milliseconds."", ""planning_ms"": ""Legacy planning latency field in milliseconds."", ""sumo_time"": ""SUMO-measured vehicle travel time in seconds."", ""time_s"": ""Legacy seconds field that was often used for inference or planning time, depending on the script."", ""travel_time"": ""SUMO-measured vehicle travel time in seconds in the current app pipeline."", ""true_travel_time"": ""Legacy analytical proxy from evaluate.py rather than a live SUMO trip duration.""}, ""num_eval_seeds"": 1, ""planning_time_definition"": ""Planning Time (s) = model inference time + route solving time only. It excludes SUMO startup, warm-up, simulation stepping, and live vehicle travel."", ""reroute_period"": 60, ""reroute_trigger_mode"": ""periodic"", ""simulation_seed_policy"": ""scene_profile_fixed_seed_single_run"", ""travel_time_definition"": ""Travel Time (s) = SUMO trip duration for the evaluated vehicle only, measured from vehicle depart to vehicle arrival inside the simulator."", ""vehicle_depart_window"": [180, 180], ""warmup_seconds"": 180}",轻量图特征权重估计 baseline，走 scene-profile-fixed live SUMO 评测。
场景D 中央核心节点封锁,D,core_blockage,GCN-Weight,R0C0_E,R4C3_E,2114.0,1764.04,1738.7,6,True,False,arrived,0.000503,0.0,0.000503,37.5,72.9,70,96,100.0,26,8,15.95,303,240,240,2400,sha256:012f7472d50a,False,,"{""evaluation_end_time"": 2400, ""evaluation_start_time"": 240, ""legacy_field_mapping"": {""infer_time"": ""model_infer_time_s"", ""plan_ms"": ""planning_time_ms"", ""planning_ms"": ""planning_time_ms"", ""sumo_time"": ""travel_time_s"", ""time_s"": ""planning_time_s"", ""travel_time"": ""travel_time_s"", ""true_travel_time"": ""analytical_travel_time_s_legacy""}, ""legacy_field_notes"": {""infer_time"": ""Model inference-only time; this is a subcomponent of planning time, not travel time."", ""plan_ms"": ""Legacy planning latency field in milliseconds."", ""planning_ms"": ""Legacy planning latency field in milliseconds."", ""sumo_time"": ""SUMO-measured vehicle travel time in seconds."", ""time_s"": ""Legacy seconds field that was often used for inference or planning time, depending on the script."", ""travel_time"": ""SUMO-measured vehicle travel time in seconds in the current app pipeline."", ""true_travel_time"": ""Legacy analytical proxy from evaluate.py rather than a live SUMO trip duration.""}, ""num_eval_seeds"": 1, ""planning_time_definition"": ""Planning Time (s) = model inference time + route solving time only. It excludes SUMO startup, warm-up, simulation stepping, and live vehicle travel."", ""reroute_period"": 60, ""reroute_trigger_mode"": ""periodic"", ""simulation_seed_policy"": ""scene_profile_fixed_seed_single_run"", ""travel_time_definition"": ""Travel Time (s) = SUMO trip duration for the evaluated vehicle only, measured from vehicle depart to vehicle arrival inside the simulator."", ""vehicle_depart_window"": [240, 240], ""warmup_seconds"": 240}",轻量图特征权重估计 baseline，走 scene-profile-fixed live SUMO 评测。
场景G 传播范围外溢,G,propagation_range,GCN-Weight,R0C0_E,C4R3_N,2160.1,1879.27,1861.8,7,False,True,truncated_at_evaluation_end,0.001106,0.0,0.001106,16.67,70.8,68,96,100.0,28,8,15.95,404,240,240,2400,sha256:012f7472d50a,False,,"{""evaluation_end_time"": 2400, ""evaluation_start_time"": 240, ""legacy_field_mapping"": {""infer_time"": ""model_infer_time_s"", ""plan_ms"": ""planning_time_ms"", ""planning_ms"": ""planning_time_ms"", ""sumo_time"": ""travel_time_s"", ""time_s"": ""planning_time_s"", ""travel_time"": ""travel_time_s"", ""true_travel_time"": ""analytical_travel_time_s_legacy""}, ""legacy_field_notes"": {""infer_time"": ""Model inference-only time; this is a subcomponent of planning time, not travel time."", ""plan_ms"": ""Legacy planning latency field in milliseconds."", ""planning_ms"": ""Legacy planning latency field in milliseconds."", ""sumo_time"": ""SUMO-measured vehicle travel time in seconds."", ""time_s"": ""Legacy seconds field that was often used for inference or planning time, depending on the script."", ""travel_time"": ""SUMO-measured vehicle travel time in seconds in the current app pipeline."", ""true_travel_time"": ""Legacy analytical proxy from evaluate.py rather than a live SUMO trip duration.""}, ""num_eval_seeds"": 1, ""planning_time_definition"": ""Planning Time (s) = model inference time + route solving time only. It excludes SUMO startup, warm-up, simulation stepping, and live vehicle travel."", ""reroute_period"": 45, ""reroute_trigger_mode"": ""periodic"", ""simulation_seed_policy"": ""scene_profile_fixed_seed_single_run"", ""travel_time_definition"": ""Travel Time (s) = SUMO trip duration for the evaluated vehicle only, measured from vehicle depart to vehicle arrival inside the simulator."", ""vehicle_depart_window"": [240, 240], ""warmup_seconds"": 240}",轻量图特征权重估计 baseline，走 scene-profile-fixed live SUMO 评测。
场景C 多路段复合拥堵,C,compound_disaster,GCN-Weight,R0C0_E,R3C4_E,2277.8,1941.17,1891.6,8,True,False,arrived,0.001067,0.0,0.001067,18.18,72.9,70,96,100.0,26,8,14.75,505,300,300,2700,sha256:012f7472d50a,False,,"{""evaluation_end_time"": 2700, ""evaluation_start_time"": 300, ""legacy_field_mapping"": {""infer_time"": ""model_infer_time_s"", ""plan_ms"": ""planning_time_ms"", ""planning_ms"": ""planning_time_ms"", ""sumo_time"": ""travel_time_s"", ""time_s"": ""planning_time_s"", ""travel_time"": ""travel_time_s"", ""true_travel_time"": ""analytical_travel_time_s_legacy""}, ""legacy_field_notes"": {""infer_time"": ""Model inference-only time; this is a subcomponent of planning time, not travel time."", ""plan_ms"": ""Legacy planning latency field in milliseconds."", ""planning_ms"": ""Legacy planning latency field in milliseconds."", ""sumo_time"": ""SUMO-measured vehicle travel time in seconds."", ""time_s"": ""Legacy seconds field that was often used for inference or planning time, depending on the script."", ""travel_time"": ""SUMO-measured vehicle travel time in seconds in the current app pipeline."", ""true_travel_time"": ""Legacy analytical proxy from evaluate.py rather than a live SUMO trip duration.""}, ""num_eval_seeds"": 1, ""planning_time_definition"": ""Planning Time (s) = model inference time + route solving time only. It excludes SUMO startup, warm-up, simulation stepping, and live vehicle travel."", ""reroute_period"": 30, ""reroute_trigger_mode"": ""periodic"", ""simulation_seed_policy"": ""scene_profile_fixed_seed_single_run"", ""travel_time_definition"": ""Travel Time (s) = SUMO trip duration for the evaluated vehicle only, measured from vehicle depart to vehicle arrival inside the simulator."", ""vehicle_depart_window"": [300, 300], ""warmup_seconds"": 300}",轻量图特征权重估计 baseline，走 scene-profile-fixed live SUMO 评测。
场景N normal_baseline 正常通行,N,normal_baseline,Sparse-LoRA,R3C0_E,R3C4_E,198.7,40.18,23.5,2,True,False,arrived,1.067413,1.067255,0.000157,100.0,0.0,0,0,0.0,96,4,171.29271,101,120,120,1800,sha256:012f7472d50a,False,/root/autodl-tmp/model_merged_sparse_v2_stage4_fix,"{""evaluation_end_time"": 1800, ""evaluation_start_time"": 120, ""legacy_field_mapping"": {""infer_time"": ""model_infer_time_s"", ""plan_ms"": ""planning_time_ms"", ""planning_ms"": ""planning_time_ms"", ""sumo_time"": ""travel_time_s"", ""time_s"": ""planning_time_s"", ""travel_time"": ""travel_time_s"", ""true_travel_time"": ""analytical_travel_time_s_legacy""}, ""legacy_field_notes"": {""infer_time"": ""Model inference-only time; this is a subcomponent of planning time, not travel time."", ""plan_ms"": ""Legacy planning latency field in milliseconds."", ""planning_ms"": ""Legacy planning latency field in milliseconds."", ""sumo_time"": ""SUMO-measured vehicle travel time in seconds."", ""time_s"": ""Legacy seconds field that was often used for inference or planning time, depending on the script."", ""travel_time"": ""SUMO-measured vehicle travel time in seconds in the current app pipeline."", ""true_travel_time"": ""Legacy analytical proxy from evaluate.py rather than a live SUMO trip duration.""}, ""num_eval_seeds"": 1, ""planning_time_definition"": ""Planning Time (s) = model inference time + route solving time only. It excludes SUMO startup, warm-up, simulation stepping, and live vehicle travel."", ""reroute_period"": 60, ""reroute_trigger_mode"": ""periodic"", ""simulation_seed_policy"": ""scene_profile_fixed_seed_single_run"", ""travel_time_definition"": ""Travel Time (s) = SUMO trip duration for the evaluated vehicle only, measured from vehicle depart to vehicle arrival inside the simulator."", ""vehicle_depart_window"": [120, 120], ""warmup_seconds"": 120}",model_merged_sparse_v2_stage4_fix 主链路，A* + live SUMO。
